"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 26 16:32:38 GMT 2020","Wed Aug 26 16:32:38 GMT 2020","9","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"passed","Wed Aug 26 16:32:38 GMT 2020","Wed Aug 26 16:32:38 GMT 2020","13","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"broken","Wed Aug 26 16:32:38 GMT 2020","Wed Aug 26 16:32:38 GMT 2020","29","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"passed","Wed Aug 26 16:32:38 GMT 2020","Wed Aug 26 16:32:38 GMT 2020","15","","Labels","","Delete existing label via api","","Delete existing label via api",""
"broken","Wed Aug 26 16:32:38 GMT 2020","Wed Aug 26 16:32:38 GMT 2020","18","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Wed Aug 26 16:32:38 GMT 2020","Wed Aug 26 16:32:38 GMT 2020","16","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"passed","Wed Aug 26 16:32:38 GMT 2020","Wed Aug 26 16:32:38 GMT 2020","24","","Labels","","Create new label via api","","Create new label via api",""
