"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 13 02:34:28 GMT 2020","Tue Oct 13 02:34:30 GMT 2020","2019","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Tue Oct 13 02:34:30 GMT 2020","Tue Oct 13 02:34:30 GMT 2020","5","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"broken","Tue Oct 13 02:34:28 GMT 2020","Tue Oct 13 02:34:28 GMT 2020","45","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"passed","Tue Oct 13 02:34:28 GMT 2020","Tue Oct 13 02:34:28 GMT 2020","9","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"passed","Tue Oct 13 02:34:30 GMT 2020","Tue Oct 13 02:34:30 GMT 2020","8","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"passed","Tue Oct 13 02:34:28 GMT 2020","Tue Oct 13 02:34:28 GMT 2020","11","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Tue Oct 13 02:34:28 GMT 2020","Tue Oct 13 02:34:28 GMT 2020","34","","Labels","","Create new label via api","","Create new label via api",""
